Tanggal,Bawang Merah
25/11/2023,28850
26/11/2023,28750
27/11/2023,29010
28/11/2023,28730
29/11/2023,28840
30/11/2023,28550
01/12/2023,28780
02/12/2023,28860
03/12/2023,29060
04/12/2023,29530
05/12/2023,29480
06/12/2023,29680
07/12/2023,30550
08/12/2023,30700
09/12/2023,31300
10/12/2023,30910
11/12/2023,30020
12/12/2023,30100
13/12/2023,30070
14/12/2023,30010
15/12/2023,30230
16/12/2023,30250
17/12/2023,30190
18/12/2023,31110
19/12/2023,31920
20/12/2023,32080
21/12/2023,32670
22/12/2023,33110
23/12/2023,33720
24/12/2023,34460
25/12/2023,34280
26/12/2023,34500
27/12/2023,34730
28/12/2023,35720
29/12/2023,36100
30/12/2023,36930
31/12/2023,36470
01/01/2024,36400
02/01/2024,36330
03/01/2024,37360
04/01/2024,37770
05/01/2024,37890
06/01/2024,37300
07/01/2024,37770
08/01/2024,36820
09/01/2024,36020
10/01/2024,35570
11/01/2024,34980
12/01/2024,35150
13/01/2024,34000
14/01/2024,33600
15/01/2024,32600
16/01/2024,31930
17/01/2024,31810
18/01/2024,30630
19/01/2024,30200
20/01/2024,29900
21/01/2024,29940
22/01/2024,29660
23/01/2024,29390
24/01/2024,28980
25/01/2024,29060
26/01/2024,29180
27/01/2024,28700
28/01/2024,28770
29/01/2024,28530
30/01/2024,28360
31/01/2024,28350
01/02/2024,28340
02/02/2024,28520
03/02/2024,28380
04/02/2024,28140
05/02/2024,28420
06/02/2024,27850
07/02/2024,28500
08/02/2024,28130
09/02/2024,27020
10/02/2024,28210
11/02/2024,28240
12/02/2024,28200
13/02/2024,28900
14/02/2024,28730
15/02/2024,28990
16/02/2024,29240
17/02/2024,29730
18/02/2024,29610
19/02/2024,29930
20/02/2024,30290
21/02/2024,30270
22/02/2024,30090
23/02/2024,30290
24/02/2024,30050
25/02/2024,30820
26/02/2024,31030
27/02/2024,30700
28/02/2024,30490
29/02/2024,30540
01/03/2024,30460
02/03/2024,30330
03/03/2024,30250
04/03/2024,30540
05/03/2024,30460
06/03/2024,30300
07/03/2024,30370
08/03/2024,30060
09/03/2024,29970
10/03/2024,30100
11/03/2024,30500
12/03/2024,30850
13/03/2024,30770
14/03/2024,31390
15/03/2024,31660
16/03/2024,31350
17/03/2024,30960
18/03/2024,31220
19/03/2024,31580
20/03/2024,31180
21/03/2024,30710
22/03/2024,30330
23/03/2024,29960
24/03/2024,30640
25/03/2024,30690
26/03/2024,30720
27/03/2024,31020
28/03/2024,31010
29/03/2024,31610
30/03/2024,31410
31/03/2024,32110
01/04/2024,34200
